,PostalCode,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
71,M6A,North York,"Lawrence Heights, Lawrence Manor",43.718517999999996,-79.46476329999999,0,Accessories Store,Arts & Crafts Store,Gift Shop,Furniture / Home Store,Miscellaneous Shop,Coffee Shop,Clothing Store,Boutique,Women's Store,Vietnamese Restaurant
72,M6B,North York,Glencairn,43.709577,-79.44507259999999,0,Pub,Park,Asian Restaurant,Japanese Restaurant,Drugstore,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop
73,M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002,0,Field,Trail,Hockey Arena,Drugstore,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant
74,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512,4,Park,Women's Store,Market,Fast Food Restaurant,Greek Restaurant,Gourmet Shop,Event Space,Ethiopian Restaurant,Empanada Restaurant,Electronics Store
75,M6G,Downtown Toronto,Christie,43.669542,-79.4225637,0,Grocery Store,Café,Park,Nightclub,Restaurant,Diner,Baby Store,Italian Restaurant,Bank,Coffee Shop
76,M6H,West Toronto,"Dovercourt Village, Dufferin",43.66900510000001,-79.4422593,0,Pharmacy,Supermarket,Bakery,Playground,Bar,Café,Middle Eastern Restaurant,Music Venue,Bank,Park
77,M6J,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497,0,Bar,Coffee Shop,Men's Store,Asian Restaurant,Café,Pizza Place,French Restaurant,Restaurant,Vietnamese Restaurant,New American Restaurant
78,M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village",43.6368472,-79.42819140000002,0,Breakfast Spot,Café,Coffee Shop,Climbing Gym,Burrito Place,Stadium,Italian Restaurant,Restaurant,Intersection,Bar
79,M6L,North York,"Downsview, North Park, Upwood Park",43.713756200000006,-79.4900738,0,Bakery,Park,Construction & Landscaping,Basketball Court,Yoga Studio,Dumpling Restaurant,Dog Run,Doner Restaurant,Donut Shop,Drugstore
80,M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",43.6911158,-79.47601329999999,0,Fast Food Restaurant,Fried Chicken Joint,Sandwich Place,Restaurant,Dessert Shop,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop
81,M6N,York,"The Junction North, Runnymede",43.67318529999999,-79.48726190000001,0,Caribbean Restaurant,Bus Line,Brewery,Yoga Studio,Dumpling Restaurant,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant
82,M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999,0,Mexican Restaurant,Café,Thai Restaurant,Fast Food Restaurant,Bookstore,Park,Speakeasy,Flea Market,Furniture / Home Store,Italian Restaurant
83,M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325,0,Breakfast Spot,Gift Shop,Eastern European Restaurant,Cuban Restaurant,Italian Restaurant,Dog Run,Dessert Shop,Restaurant,Movie Theater,Bank
84,M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499,0,Sushi Restaurant,Café,Coffee Shop,Italian Restaurant,Diner,Indie Movie Theater,Bar,Dessert Shop,Fish & Chips Shop,Smoothie Shop
85,M7A,Queen's Park,Queen's Park,43.6623015,-79.3894938,0,Coffee Shop,Park,Gym,Smoothie Shop,Seafood Restaurant,Sandwich Place,Burger Joint,Burrito Place,Café,Portuguese Restaurant
86,M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999,0,Coffee Shop,Hotel,Gym / Fitness Center,Sandwich Place,Mediterranean Restaurant,American Restaurant,Fried Chicken Joint,Burrito Place,Yoga Studio,Donut Shop
87,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,0,Yoga Studio,Garden,Comic Shop,Pizza Place,Recording Studio,Restaurant,Burrito Place,Skate Park,Brewery,Farmers Market
88,M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto",43.6056466,-79.50132070000001,0,Café,Pharmacy,Bakery,Fried Chicken Joint,Flower Shop,Fast Food Restaurant,Liquor Store,Pet Store,Pizza Place,Coffee Shop
89,M8W,Etobicoke,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999,0,Pizza Place,Coffee Shop,Dance Studio,Pharmacy,Gym,Skating Rink,Sandwich Place,Pool,Athletics & Sports,Pub
90,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.653653600000005,-79.5069436,0,Park,River,Smoke Shop,Pool,Yoga Studio,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run
91,M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.6362579,-79.49850909999999,3,Baseball Field,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant,Festival
92,M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",43.6288408,-79.52099940000001,0,Gym,Social Club,Discount Store,Tanning Salon,Burrito Place,Burger Joint,Flower Shop,Sandwich Place,Thrift / Vintage Store,Bakery
93,M9A,Etobicoke,Islington Avenue,43.6678556,-79.53224240000002,0,,,,,,,,,,
94,M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.6509432,-79.55472440000001,0,,,,,,,,,,
95,M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.6435152,-79.57720079999999,0,Convenience Store,Pharmacy,Park,Pizza Place,Liquor Store,Café,Coffee Shop,Beer Store,Shopping Plaza,Drugstore
96,M9L,North York,Humber Summit,43.7563033,-79.56596329999999,0,Empanada Restaurant,Yoga Studio,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant
97,M9M,North York,"Emery, Humberlea",43.7247659,-79.53224240000002,3,Baseball Field,Furniture / Home Store,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant
98,M9N,York,Weston,43.706876,-79.51818840000001,4,Park,Yoga Studio,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant
99,M9P,Etobicoke,Westmount,43.696319,-79.53224240000002,0,Pizza Place,Middle Eastern Restaurant,Sandwich Place,Discount Store,Coffee Shop,Chinese Restaurant,Diner,Dog Run,Doner Restaurant,Donut Shop
100,M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.6889054,-79.55472440000001,4,Pizza Place,Mobile Phone Shop,Park,Drugstore,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant
101,M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.739416399999996,-79.5884369,0,Grocery Store,Liquor Store,Fried Chicken Joint,Pizza Place,Sandwich Place,Fast Food Restaurant,Beer Store,Pharmacy,German Restaurant,Dance Studio
102,M9W,Etobicoke,Northwest,43.706748299999994,-79.5940544,0,Drugstore,Rental Car Location,Bar,Dessert Shop,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Yoga Studio
